ClipName,Frame,RootVel.x,RootVel.z,LFootVel.x,LFootVel.y,LFootVel.z,RFootVel.x,RFootVel.y,RFootVel.z,RootPos.x,RootPos.z,Forward.x,Forward.z
Run,55,0.04221875,4.281168,-0.02721366,0.0939832,-0.08680027,0.05363405,0.2464432,0.3384369,0.04221875,4.281168,-0.01862657,0.9503711
Run,56,0.04383987,4.467772,-0.02744165,0.1589308,-0.2214045,0.04317925,0.1397859,0.5458487,0.04383987,4.467772,0.003779627,0.9596866
Run,57,0.04428339,4.658114,-0.02466061,0.3036227,-0.318702,0.04349834,0.0945821,0.7305058,0.04428339,4.658114,-0.004219193,0.9662776
Run,58,0.04631921,4.85062,-0.03181658,0.4738879,-0.3412344,0.05374482,0.09307029,0.8205865,0.04631921,4.85062,-0.02514398,0.9707084
Run,59,0.04856212,5.043716,-0.0458921,0.6034742,-0.2871913,0.05025009,0.06862159,0.7823508,0.04856212,5.043716,-0.0340898,0.9733647
Start_Run,0,0.02231443,0.02954008,0.1253641,-0.01008416,0.4568581,-0.1225962,-0.0098101,0.4640546,0.02231443,0.02954008,0.05841994,-1.007491
Start_Run,1,0.02244,0.02842788,0.1254151,-0.01026357,0.4579267,-0.122952,-0.009904962,0.465206,0.02244,0.02842788,0.05825736,-1.008545
Start_Run,2,0.02259178,0.02718344,0.1254299,-0.01041989,0.4592109,-0.1233321,-0.009973592,0.4664866,0.02259178,0.02718344,0.05808925,-1.009541
Start_Run,3,0.02277171,0.02579885,0.1253967,-0.01054637,0.4607366,-0.1237346,-0.01001049,0.4679363,0.02277171,0.02579885,0.05791133,-1.010459
Start_Run,4,0.02298177,0.02424937,0.1253191,-0.0106447,0.4622959,-0.1241544,-0.01000892,0.4695659,0.02298177,0.02424937,0.05771965,-1.011277
Start_Run,5,0.02322391,0.02249523,0.1251811,-0.01070073,0.464081,-0.1245798,-0.009962082,0.4714023,0.02322391,0.02249523,0.05738803,-1.011973
Start_Run,6,0.02350011,0.02050598,0.1249705,-0.01070182,0.4662147,-0.1250009,-0.009863256,0.4734689,0.02350011,0.02050598,0.05681541,-1.012527
Start_Run,7,0.02381233,0.01825113,0.1246891,-0.01065047,0.4685136,-0.1254096,-0.009712568,0.4756689,0.02381233,0.01825113,0.05603549,-1.012917
Start_Run,8,0.02416253,0.01570023,0.124339,-0.01055389,0.4707834,-0.1258103,-0.009499675,0.4781217,0.02416253,0.01570023,0.05508194,-1.013124
Start_Run,9,0.02457957,0.01282281,0.1239098,-0.01035416,0.473842,-0.1263185,-0.009219301,0.4810085,0.02457957,0.01282281,0.05398928,-1.013124
Start_Run,10,0.02509808,0.009588411,0.1234203,-0.01007625,0.4769488,-0.1269424,-0.008887892,0.4842815,0.02509808,0.009588411,0.05279517,-1.012899
Start_Run,11,0.02572868,0.005966557,0.1227624,-0.009676921,0.480599,-0.1276164,-0.00851351,0.4878018,0.02572868,0.005966557,0.05153584,-1.012428
Start_Run,12,0.02648198,0.001902719,0.1219397,-0.009184367,0.4843856,-0.1283631,-0.008086003,0.4915529,0.02648198,0.001902719,0.05024462,-1.011689
Start_Run,13,0.0273686,-0.002694621,0.1209856,-0.008519682,0.4890721,-0.129149,-0.007545363,0.496189,0.0273686,-0.002694621,0.04895847,-1.010661
Start_Run,14,0.02839914,-0.007861016,0.1196373,-0.007733365,0.49433,-0.1302488,-0.006857761,0.501392,0.02839914,-0.007861016,0.0477003,-1.009321
Start_Run,15,0.02958424,-0.01356734,0.1182565,-0.00682272,0.4997525,-0.1313199,-0.006085682,0.5068368,0.02958424,-0.01356734,0.04655669,-1.00765
